,stars,comments
23,4.0 stars,"  Apple,apple,apple, thats the first thing that must have flashed in you mind when you saw this product, so here i have a total breif review on the laptop...***Pros***4k Video Editing with Final Cut Pro X on this thing works like butter, there is heating issue that i am going to go to apple service center to get it checkedEveryday works like checking mail and is just gr8The Battery is just OVERPOWERED, works for around 11-12 hours on continuous work and 8-9 hours when editingThe graphics card scores 30 fps in cinebench which is not that badThe performance is also fine, 280 cb processor score on cinebenchSpeakers are really good with perfect bass, its a laptop speaker, dont expect much from itDisplay brightness is 300 nits, which is fineThe Wi-Fi is extremely good, can get a network even from the living room while the router is in the bedroomVery thin and lightweightMacOS is good for School work if you know all the office applications for mac, for eg.Pages is WordMagSafe 2 is the best partGood Trackpad and Keyboard with backlightThe Storage is fast!, thanks to the M.2 based SSD!***Cons***Display, though the resolution is ok for a 13.3 inch display, the viewing angle is not appropriate for a 84k laptopGets heated up (Going to get it checked by apple support). Cooling not appropriate for this cpu, need a better thermal paste and fanRam management on MacOS Mojave is not good, 8 GBs of memory is not well distributed among all tasks running in backgroundMacOS is not made for gaming, you need to boot camp on this mac with Windows if you are really a hard-core gamerIntel HD integrated graphics at the price???, god damn it apple (Though its not bad, have seen GeForce 940MX at the same price)No Force trackpadBezels are way too thick in today's standardsNo thunderbolt 3 or Usb CCan't detect Android Devices until Android Device Explorer is installedThe Storage is less! (128 GB, will upgrade to 256 GB in a few years)***My Verdict***This devices is for them who want Battery and Power, and people who want to do Video Editing on Final Cut Pro X, if anyone has a heat up issue than you should Call apple Support and visit one service center immediately to get your laptop checked! Though the graphics is OK from my view, apple could have given better graphics like the radeon vega 8 graphics or Intel Iris Plus or Pro for a laptop that is so expensive! Everything else is Great! And MacOS is not that hard, i easily use both my Lenovo Gaming PC and my apple macbook air easily! Go for it if you are in the criteria I explained above! For hard-core video editing I would recommend atleast an iMac 4k or MacBook Pro Base Model because of its cooling Fan structure, Better Graphics and CPU! This Air is still not enough to edit 4k60fps videos! While exporting the 4k60fps video the CPU and GPU went up to 104 degrees, this is the reason i am going to apple support! Thank You if you read the whole review because I spent a lot of time writing this!*Update on 8 Oct, 2019*Apple service did nothing, so I thought of doing my own service! Yes, I changed the thermal paste and dusted the fan, now, everything is running even better than ever, even the heating issua is solved! Now while exporting a 4k 60 fps video, it's just around 80 degrees, hence no thermal throttling, Yay!"
24,1.0 stars,"  For a full year until the warranty was valid, this MacBook Air worked like a charm. Then it died. No response to power button. No internal mechanical movement. The laptop is just dead. I gave it for repair at an Apple authorized service center and they told me it was a failed Power Section and IC. I paid Rs. 13,300 for replacement and service charge of these parts only for the laptop to run fine for a couple of days and then die out in th same way. The dealer says I would have to pay the same amount to get the parts replaced again with no guarantees that the issue won't turn up again. Never trusting an Apple product again. For such a rich money hogging brand, they offer the shoddiest quality of service and products ever."
25,5.0 stars,"  There's a reason why people vouch for Mac books and I doubt it out now.... Excellent build quality, not only if the laptop but also of the accessories, the battery life is good, and sound is awesome. The look and feel of the product is just excellent. A 5 star in every aspect."
26,1.0 stars,  In 3 Days of Use The Laptop stopped working and not powering on.
27,1.0 stars,"  Was shocked to received a defective Apple MacBook. The device was not booting. Amazon was prompt in sending service Engineer, who certified the item defective. This item was replaced with a brand new MacBook as per Amazon policy. However to my dismay, this new MacBook also had a similar defect, which was again certified by the service Engineer. Apple is the world leader in laptops, and what amazes me is the 'QC' or the lack of it.Finally I had to request Amazon to refund the amount, which they did."
28,1.0 stars,"  I bought it last year from Amazon during Sale. It  suddenly stopped working twice in span of 1.5 yrs. I am unable to switch it on. After three months of purchase, I took it to service centre and they told that the logic board has to be replaced. The cost is around 45000. Luckily it was in the warranty. Now again after a eight month of replacement, it's dead again. I am helpless. I dont want to invest more into that. I used the laptop very carefully but I think Amazon sent a defected piece on sale."
29,1.0 stars,"  My experience was little bitter in a sense that for my Mac, USB port is not working. Took my newly bought Mac to Apple Service centre. they have checked and come up with comment ""USB port is not working"". However I believe they might have tried all possible option of software upgrade, iTunes upgrade etc, cable shuffle to work out but nothing works well. so Returning this machine and looking after replacing it with correct one."
30,1.0 stars,"  I purchased this product in February 2018 from Amazon. The power button started giving problems in end-May 2019. The computer just would not startup. I scanned the Net for such problems.  A lot of work arounds: push the Start button+ shift button etc. This worked for a few days. Then such work around too stopped working at all - the computed refused to start-up once shut down. Surprisingly, I ran the computer diagnostics on the Macbook, and the diagnostics program could not find any defect! I was surprised that even if the program could not find a defect on the computer, yet the computer once shut down would not start up.Secondly, finding a  Macbook authorised service center too is an onerous task in India. The Service center informed me that there is a problem with the mother board. And it needs to be replaced. Wow! Next time I would stick to my windows notebook, would never purchase a Macbook again!"
31,3.0 stars,"  I am writing this review after 3 yrs. It was a great feeling when I purchased this laptop and it was a big ambition too... Why it can't be? People were looking at me with a great look when I carry this Mac along with me to office or to public places. It was again a great experience of speed, look, weight, logo, and u name anything u want, u have it...However, after 3 years, the problem suddenly came up. My Keypad and Mouse tracker both failed working and the reason was not known. I tried with customer care too to find a solution, however after spending an hr, I found no solution. Finally the CC suggested me to take it to Service centre. The CC person informed me that they will do resetting the mac but all in vain. For that they charged Rs.1800/-Then after 2 days they told that keypad need to be replaced which will cost Rs.25000/- then again for the Trackpad which will be around Rs.10000/-So totally it is Rs.35000/- (approx)Now the people whoever are reading this review, need to calculate there financial issues and then plan to go ahead. Moreover, I felt it is not so user friendly laptop and it has many restrictions. Eg-Connect Android Mobile to Mac...The cost of Display will be Rs. 49000/-.. Just think about it and then go ahead.Suggestion: For those who are crazy of Apple like me but with financial issues, then my suggestion will be ""BIG NO"".If u have no financial problems then it is ur choice... But still I say to them ""why do u spend"" so much when u have other FHD options available with better specifications???"
32,4.0 stars,  Thanks to amazon for superb timeliness and hassle-free delivery. Original item received. Properly packed for safety and kudos to the exchange offer i got it in somewhat lesser price. Still there are a few things or two like the caps lock key is being non responsive sometimes which might not be amazon's fault but still..its amazon who is in between. Overall the product is good. I'm fully satisfied with the performance and battery life. It actually gives upto 12 hours of battery life while you do small modular works.
33,2.0 stars,"  Apple Products are usually good, perform well and noncomplicated. I bought this laptop in Sep 2017 through Amazon. Today, just over two years the thing is dead and Apple Support says pay Rs.50,000.00 to change the motherboard. I bought it for Rs.60,000.00.  No guesses for anyone whothinks whether it is worth repairing. The propriety thing with Apple just goes a little too much. I did contactApple support asking them to reconsider their warranty terms.They said ""just too bad"" or word to that effect. I am now reconsidering buying any of their products. Just too bad.... So there you are. anyone thinking of buying apple products keep in mind the huge costs.... not to forget the likely short life of ""great Products"". O"
34,1.0 stars,  Do not go after brand. You can get pretty good configuration in this price. My MacBook is dead after 1 year when I kept it in cupboard for 2 weeks without use. Don't know how much I have to spend now ..
35,5.0 stars,"  Your browser does not support HTML5 video.   There is nothing to dislike about this machine. I'm sold by her looks, sleek and grace. It is not user friendly specially because i've had my hands on the black laptops forever but i'm getting around. I purchased Apple MacBook last year in December and it's been a pretty awesome experience. I love the MacOS applications. The keyboard is a delight to work in the dark. I have no issues with the sound quality! As a single user machine ,she never disappoints. Battery life is as mentioned. But to be very honest , I bought this machine because it adds to my collection of awesome gadgets. And I bought it because I could, I am so grateful! I love Apple products. They make for good show off, they look unique and stand out. This machine has been one of my best investments and technology acquired. So proud of her."
36,5.0 stars,"  The sheer fluidic response on this machine is simply awesome. Totally worth every penny.Even though I use Windows in my office for programming but this machine is a beast when it comes to performance. Zero lag, super fast reboot. Got it at a good deal for 47k."
37,4.0 stars,"  Amazing product,best for high computational work and programming."
38,5.0 stars,  excellent product with good exchange price... I like product and service
39,1.0 stars,"  Very disappointed by the product quality. After carefully using for 2 years my device stared giving me problem. As soon as welcome screen appears and I key in my credentials screen turns to green and lines all over it.  When I contacted Icare they charged 1990 rs as diagnosis charge and after diagnosis, they sent me mail that ""Checked and Found device is not powering on. Did SMC, PRAM and checked with known good power adapter - Still same issue, Checked internal condition - found liquid damage and corrosion marks on logic board. Hence Logic board need to replace the logic board under exchange price to check further. customer denied service .""  and overall repair charge was 48950 rs. Which is more than the cost of the laptop (44k when I purchased it.) and battery charge 12k separately"
40,1.0 stars,  Writing the review after a two yr usage of macbook. Bought it because of very good experience with other apple product. But this was pathetic. Within a year of use the screen had vertical colorful lines. Luckily it was under warranty and got it mended.Exactly after another yr i faced the same issue and cost of repair is only 42k.Very disappointed and people shld be aware of this issue before purchasing.Would not recommend to anyone.
41,1.0 stars,"  Don't buy for the pride or quality advertised. The lapot keyboard failed just 2 days after the warrenty period. Service cost was 19,000. So I backed out and was using a USB keyboard. Now the whole system is not switching On. Took to local service center it has costed me 3,500 to just make it work again and still will cost more to make the keyboard replaced. Truly gutted. I have my HP laptop pro book almost 9 years old still running without any issues. Was planning to buy an IPhone but surely not after this. Deeply sad by the experience."
42,5.0 stars,"  I purchased this for my mother, she is a prolific writer / poet and spends a ton of time on computers these days as a result. She has had fairly bad experiences with build quality, frequent hardware issues with other brands in the past and so wanted a good sturdy sleak laptop, this was a perfect  fit for her, especially now that the price was reasonably low and discounted, it was a no-brainer."
43,4.0 stars,"  well I have been using a windows laptop in the premium category for quiet some time.most of my time was spent dealing with driver issues with oem manufacturers, colossal problem with heating, os stutter in a 16 gb ram machine.i decide the pros and cons and again switched back to MacBook Air .1)the trackpad works like a dream.not like horrible windows with lag and stutter.multi gesture is a dream2) admittedly the display is not hd.but trust me much better than the much touted hd displays of horrific windows laptops I have used.in the same price range3)I am not a video editor but I am sure high end editing on 4k etc will be a challenge.but routine like image editing etc will be not an issue.if vfx pro etc is your daily grime look the Mac book pro4)routine work is a breeze..like..so cool the intuitive..experience...more so if you are in to the experience of apple ecosystem..airdrop etc...is very easy to comprehend5)the built quality and the battery is simply superb.here the low res display helps in easily 10-11 hours of usage.and 2 weeks of standby6)it is lighter and slimmer even than the new MacBook Air.7)no other MacBook has the glowing apple logo if it means much to you.maybe a collectible later:-)8)daily tasks are a breeze..however high end gaming will take a hit..tip:try and go for the extended warranty...at an apple store/apple protection plan"
44,1.0 stars,"  I brought this mac air on sep 2017. From past 1 week I am not able to turn on my mac, went to apple store and after troubleshooting they said it is having motherboard problem and need to replace which cost 50k, I was shocked and said how come in less than 2 year mac will have this issue. So kindly please beawre on this big bug mac air."
45,4.0 stars,"  Pros:Build: Metal material so still looks modern and rich.LightweightExcellent battery life (around 8-9hrs)Backlit keyboard(although all macbooks have it)OS. (Smooth Lagfree)Apple icloud storage: 1$/75Rs. a Month for 50GB of cloud storage.( Not an advantage but You will need this if you typically store photos, videos)Keyboard: excellant keyboard with haptic feedback keys.Cons:Display: 720p display. But its still pretty cool!Processor is bit old but it still runs efficiently.Storage: 128GB SSD will only leave you with 85GB of free space.( I suggest you invest 75Rs/Month and get extra 50GB icloud storage which works seamlessly)"
46,1.0 stars,"  After using almost 6 months I am sharing my review, I suggest to not buy this at all because after purchase within 10 days it's gave me shock while charging, after many followups finally they replaced with new laptop, I am quite happy that time but again same issue after 1 month, within 6 months I went to service center 2 times, Again I need to go 3rd time, That keys not work properly after some days and battery also not great, And worst gaming experience because its provide too much heat, We can't even use 30 min, Worst experience with Apple and work experience with amazon agents No one give customer satisfaction after purchasing"
47,1.0 stars,  It did not run properly for even a week...it is on service centre from 20 days
48,5.0 stars,"  I have been a Macbook pro user for last 2 years. I came across the new Macbook air and got a chance to put hands on it. So here is a brief review on my first impressions. Basically i will be comparing this with a regular laptop of similar price range and Macbook PROAir benefits compared to Non Apple laptop:# Slim and light weight for daily travel# 10-11 hours battery backup on normal usage# Apple touch pads are awesome, smooth and responsive compared to any premium laptop# Audio quality on speakers is good, but not as loud as my Macbook Pro 13# Apple front camera works the best in low light, best for low light skype calls# SSD - Apps launch very fast despite the low power processor# Metal body construction# Mag safe charger- If you are really careless this helps very much.# Ambient light sensor that adjusts brightness automatically ( Many people are not aware of this feature)# Keep your Air closed or leave somewhere idle and check back after 2 or 3 days, you will see battery has dropped less than 3 or 4 %# The best part - Mac OS, contains all that you need, a neat calendar, Todos app, notes, Quicktime, Mail app etc. Hassle free OSAir demerits compared to Non Apple laptop:Air demerits compared to Non Apple laptop:# Performance is on lower side# Good for basic usage only, internet, movies, video calls, spreadsheets, mail# You will get better display(Full HD) if you buy a 999$ Ultrabook from US (In India they come at premium)Should you consider Macbook PRO? - PRO advantagesI know a lot of people might be confused whether to go with PRO for some additional bucks. So listing benefits of pro from my experience"
49,1.0 stars,"  Not satisfied, purchased on Mar 2018, it was working well, now getting off suddenly  , went to apple service center but they are asking 45-50k and stating that it's motherboard problem.  Who will pay this much for repair, pls guide"
50,5.0 stars,"  I got this for 52K during Amazon Sale. I can say that this is the best budget friendly Macbook ever.I have been a windows user for a very long time and always wanted to try a Mac because the whole world uses it. I used to be an Apple critic. But after using it for months, I can say that I am never going back to Windows again.The only thing Windows does better is gaming. Buy a Windows if you care about gaming. For everything else, Mac should be your preference. If you are looking forward to developing iOS or Mac apps, Mac is the only way.It is much more faster, responsive and sturdy than my Windows laptop. The OS never crashes and the performance is just flawless. Meanwhile my Windows laptop crashes very often ( Blue screen of death, Unwanted updates, driver incompatibility etc). I receive free OS updates every now and then and there has never been a compatibility issue.Apple - You just earned a new customer for life. Just make sure you don’t keep increasing the prices as it is the only con I can think of.TL;DR - If you want a laptop that is not going to irritate you every now and then and your budget is 50-60K. Wait for the sale and go for this Mac. But remember - This is not for gaming. For that, buy windows"
51,4.0 stars,"  Purchased in July2018. After 2 years of good usage, its working same as when I bought it (processor basically). LOVE the trackpad and the keys!Things that changed after 2 years are that it starts heating up near the charging point (even when I'm not charging and simply using it) sometimes (3/10 times). I searched and found out it happens due to dirt particles going inside and can be resolved by going to a store and ask them to fix or buy a set of screwdriver for this mac and clean it up yourself.Another problem is the adapter, now after 2 years it had started heating up A LOT (7/10 times). Sometimes you can't even touch it for more than 5 seconds, it gets that hot. So for that what I do is use charger with its extension, put the adapter on the floor to transfer the heat (lol). It works most of the times for me, sometimes it doesn't and I have to take the magsafe connector off the laptop every few minutes (if I'm using the laptop) .The MagSafe connector also gets very hot while charging but cools down in literally 4-5 seconds after disconnecting.Third problem I saw is with Charging wire (from near the MagSafe connector), it's started to turn yellow due to heat probably. I put of a cable protector 2 months ago and saw this 'development' happening after that only mostly.  I took that protector off now.Overall it's a very good machine.  My friend who has the same model replaced the battery after 3+ years usage and now his laptop is working perfectly fine. He doesn't face heating problems much as I do. So maybe my laptop got some defects.I haven't tried other laptops in this range except Lenovo Yoga which was BS. I remember struggling to find internet and bluetooth connectivity in windows laptop, in Mac everything is so smooth. It doesn't hang at all! And yes not to forget, it's lightweight!! I think this is one the best machines in this price range. Go for it."
