,stars,comments
10,2.0 stars,  We ordered the Surface Pro 7. Received the box which had stickers over the description saying it was a 7. Booted up the machine and it told us it was a 6 which we confirmed by the lack of a USB-C port on it. Beware.
11,1.0 stars,"  Just want to make sure no one makes the same mistake. This version of Surface ""PRO"" comes with windows ""HOME"" if your going to use with with a domain plan on an extra $100 charge to update. Amazon and Microsoft should be ashamed for putting that restriction in the product title and not burying it deep inside the product specification. Shame on you both!!"
12,1.0 stars,"  I decided to return the Surface Pro 7 due to the bad battery life.I tried to update the firmware, reset the device however unfortunetly am not able to obtain more than 3 hours of normal usage (web browser, youtube, light office tools, pdf reading). I did a test (max. brightness and best performance mode in Windows) and played from youtube a video. The result is that in 1 hour the battery level reached 52%.Before purchasing the product, I read and checked on youtube allot of reviews, none of them declared such bad performance (hardware or software)."
13,1.0 stars,"  my surface pro 7 just arrived, and I'm disappointed in the fact that the illustration shows a keyboard, but it's not included with my order. I now see in tiny print that the keyboard / cover is not included, but it's certainly not obvious. I think this is misleading, and any illustration should always match the product advertised. If that is asking too much, then you can certainly make the disclaimer larger, and easy to see, and read. I will not refer this seller for this reason, unless I can somehow get the keyboard / cover as I thought I had purchased in the first place."
14,4.0 stars,"  When deciding to buy the surface pro 7 to replace the pro 4 I thought when reaching for a laptop which of the two did I reach for the most the surface beat the 15"" full laptop every time. Its a fully functional windows laptop with the weight of a tablet without the limitations. I watch videos do 3d modeling coding browse the web send & receive emails. Battery life varies based on use I found video streaming drains it quickly on all laptops I've used. I went from a core I5 to an core I7 which maybe causing more heat than before. When shopping check your requirements extreme needs require an extreme system"
15,1.0 stars,"  This product sucks. I bough it last week and now, it is freez and not even the Microsoft tips to re-start the system works. I am really mad. It is expensive and it does not work properly."
16,4.0 stars,"  I like this tablet, nice to have for my Chem class so I can work problems right on the notes and study materials without printing them out. Plenty fast for the uses I have it for and the screen is beautiful.  Also really love the kickstand, it folds all the way back into ""studio mode"" and works great for taking notes. Only reason it's not 5 star is because I was sent a surface pro 6 when I ordered a surface pro 7. Didnt notice til the day after I got it and Microsoft emailed me saying ""welcome to the surface pro 6"", then I noticed it had the old usb port and confirmed it was the old model by looking in the software. Attached a picture showing the tablet saying it's a pro 6 and the box saying it's a pro 7. Beware of this. That said, I did get a prompt exchange but it cost me a few hours setting up a tablet and then deleting everything from it to return it, and then had to wait for a new one. Others on here have reported the same thing happening, really suspicious."
17,1.0 stars,  The store make a mistake and send me instead of a i7 16ram and 521gbY receive a i3 4ram an 128gbI travel to my country and I hire a technician to install all the software I need and he told me that the machine doesn't work with the programs I need.So now I have to send it back and lost the money I pay for the installation an the tampered glass installed and at least 2 weeks of work for not having the computer.Very upset for the experience and economicall lost.
18,1.0 stars,"  I've had this for less than 2 weeks and it won't charge at all. I tried going to the technical support but the website says it's not available, I went to the manufacturers website and their advice is useless, do they really think I wouldn't have tried plugging it in to a different outlet? Making sure everything is connected securely?I'm not happy. My last computer lasted for 11 years, and technically it's still going strong it's just too out of date for what I want to do with it, and this brand new one lasts for 2 weeks? I take really good care of my devices, I still have my original iPod, I kept my Nook until it stopped being supported, I've never had problems with tech before. I'm just really frustrated. I was so excited to finally get a new computer, I spent a lot of time picking this one out and deciding what specs I wanted it to have, and it goes kaput almost immediately."
19,5.0 stars,"  The portability and comfort of the tablet with the functionality of a full-fledged laptop. I bought a Surface 3 several years ago and now... I can't go back. I love these things too much. It comes with me everywhere. If you're wondering why buy a Surface which is twice the price of a laptop, here's why:1. If you read a lot of pdfs or e-books there is no comparison.  Using the pen on pdfs, the ability to jot down notes in word or pictorial form, the ability to create links to other information that can later be clicked on: Unmatched anywhere else  Turn it sideways and it's a full sheet of paper for writing and notetaking  Turn it sideways to read Comic Books! OMG!  I'll be honest, I'm a gamer and this is my gaming buddy. I pull up ESO maps and One Note allows me to mark up the maps I find online to check off what I've accomplished, rearranged, plan, it's incredible2. Versatility  I watch a lot of movies and tv on my advice. It's comfortable, easy to hold, just the right size screen, phenomenal graphics and good sound  As previously stated, I read on my device  I am a student. I Word Process. A LOT  I am an Excel nut. I spreadsheet like a crazy person. I attach a mouse and organize my life.  I spend a ton of time using video conferencing on this thing3. Physical Perfection (OK so it is not as light as your tablet but for what it can do, totally worth the extra weight which isn't that much)  Just the right size screen which is totally touch and pen friendly  Good battery life and easy and fast to charge. Not so happy about the way the charger connects with the longer part of the charger pointing down which makes it super easy to accidentally dislodge the magnet (CON 1)In my opinion, this is the perfect electronic for my lifestyleSo, what's wrong with it?Only one USB port and no place to insert extra storage or portable storage without using your only USB portNo MICRO SD Card slotThe Charger connection is A. Not universal and B. Stupidly located. You'd think Microsoft would have figured out by now that if you use a laptop ON your lap it'll get disconnected due to poor locationBUY THE KEYBOARD! If you want a tablet, buy a tablet, If you want a computer you need a keyboard why doesn't it just come with one?Bottom line is this. If you need something versatile and not specialized, this is your computer. It's worth the money. If you're looking for something to run a specialized program or a gaming computer, this is probably not your computer. It's not the most powerful device on the market but it is by FAR the most versatile. I could not recommend a better device for students. Buy a protective case, throw it in your backpack, purse, tote, car, suitcase, whatever let it become a part of you, you won't regret it. It is my travel buddy carrying my movies, books and work with me wherever I need to go."
20,4.0 stars,"  I love this thing! I'm primarily using it as a writing tablet and e-reader for part-time grad school, and I'd like to start using it for work (engineer). It's improved my workflow a ton. The Surface Pen is great and the magnet makes for a very secure attachment. I considered the Surface Pro X, because it has an option for stowing the slim pen in its keyboard but opted for the regular surface pen after trying them out in a retail store.I've deducted one star because:The large bezel. Doesn't bother me much at all, but it really doesn't stack up to competitor designs in 2019/2020. Still looks very sleek overall.Windows 10 works surprisingly well in tablet mode, but Microsoft is really missing an opportunity by not having a good built-in or Office e-reader (epub, pdf, mobi support) with pen support for document/ebook markup. Edge doesn't cut it feature-wise. Luckily there's a popular app in the Microsoft Store called Drawboard PDF that works really well. The lack of Microsoft application support for critical Surface features is another reason for deducting a star! OneNote and other apps were great on here. I'd love to try an MS designed e-reader with pen support."
21,5.0 stars,"  I have purchased at least a dozen Surface tablets and additionaly surface laptops.  The surface line is a Microsoft product that has reached maturity and is a go to for my company.  The weight, the durability (they are not always nice to them), the accessories available in cases, etc. all bring us back again and again.  This is a true tablet PC in the very best form out there and I am responsible for hundreds of machines in our group.  I cannot recommend the surface highly enough.  And no, I do not work for MS, or know anyone there or receive any compensation."
22,1.0 stars,"  The first one failed after 11 hours use. Failed to enter bios. Would not go past the surface logo on the screen. Amazon was great at helping troubleshoot but the machine did not make it.This was replaced and the second machine lasted 48 hours. While sitting at desk the screen froze and went plaid. Not good plaid. The plays that says the video on the board just went plaid.This was a machine I needed to work and see patients. I had to make a flying run too the closest City (45-60 min) to Best Buy at 8:20PM to get there before 9:30PM closing. I had to buy the same machine with 256 gig, as that is all they had. Really put me in a bind. This new machine has lasted nearly a week and no problems. I don't know what happened to the first 2 machines. I had a surface 4 pro for over 4 years. I know then well as I do the IT for my machine."
23,1.0 stars,"  Hello, I’m writing this review to make people aware of the multiple issues I’ve had with my surface. Ever since I’ve got it I’ve had problems with it and this issues have gotten worse in the last month.1. It started with the internet connection. All of the sudden it would not connect and would only go back online after I would reset my router for some odd reason.2. The battery has been really bad, I’ve had to plug it after 4-5 hrs of use.3. I’ve had multiple blue error screens appear randomly4. The software updates are said to be completed and asks to restart the surface but even after I restarted it (multiple times) it still shows that the update is not completed. This issue does not let me download other programs or apps.5. I’ve called Microsoft way more times over the past month. After at least 5 calls in which they tried resetting to factory settings, downloading the updates, etc... They sent me a replacement that was even worse...so slow to get to any website, it would take 1-2 minutes to open google. I’ve sent the replacement back and they are supposed to send me a new one but honestly I would rather get my money back and buy a different one. Too bad the return window has closed on me already :’(The worse part is that I bought one for me and one for my husband and his has began showing performance issues as well."
24,1.0 stars,"  I found what looked to be a decent deal for an Amazon Warehouse ""Used-Acceptable"" Surface Pro 7.According to Amazon Warehouse descriptions, ""Used-Acceptable"" is described as:""Condition: Used - Acceptable - Display has cosmetic imperfections but is usable. Cosmetic imperfection(s) bigger than 1"" on top, front or sides of item. Small cosmetic imperfection on bottom or back of item. Missing bonus material. Missing manual. Accessories may have cosmetic damage. Item will come in original packaging. Packaging will be damaged.""I'm more than fine with cosmetic imperfections. Scratches, dings and signs of a unit that has been used as intended don't phase me at all.Upon opening the box, I most definitely was NOT fine....I'm not fine with a unit that has clearly been dropped with the entire lower, left corner bent/crushed and the ""cosmetic"" damage to the lower left screen is actually the display inside (the cover/coating is fine) has been bent/pinched.It won't even fit in a form fitting Otterbox case the bend is pronounced enough.I contacted Microsoft and they will of course be happy to replace it......for $450+tax (~500.00 USD).Accessories were perfect, and ironically, the packaging was perfect too.Very disappointed with Amazon Warehouse on this one."
25,3.0 stars,"  I've had this computer for a while now. At first everything was golden, but now not so much.Pros:This computer is the perfect size for someone on the go. Its compact, but still has a decently sized screen for getting work done. In general, the computer is fast, the face recognition login is great when it works.Cons:There are many issues with the software or hardware, but I don't know which since I'm not a computer expert. The volume controls constantly freeze, so the volume is unable to be adjusted by any means until the computer gets restarted. There is an issue where the curser constantly freezes, but I can not tell if its the computer freezing or the mouse controls. As mentioned above, the face recognition login is fast, when it works. There have been many occasions where the face login stopped working randomly until the computer is restarted.I don't know where these issues are coming from, but they can make this computer a pain in the butt to use. Additionally, to maximize use of the computer, I highly recommend the keyboard cover, a pen, and a mouse."
26,1.0 stars,"  Update: THIS IS A SURFACE PRO 5!!!!When I wrote the review below, I did not know WHY it had a minidisplay port. It ALSO has a dual core NOT a quad core like the  surface pro 7. This is not an honest mistake. I paid for ""the latest model"".Original issue here:I am 65, have been disabled for 8 years, and am learning a new career out of necessity. The career requires a tablet, so after exhaustive research, I invested in a loaded Microsoft Surface Pro 7. This is a huge deal for me. As I am waiting on the keyboard and other accessories, I am learning how to use it - my first tablet. The 5-in-1 hub adapter I purchased did not fit. How could this be? I bought one for Type C port, newly available on the new version of this tablet. The Amazon ad said newest version. Ends up the tablet has what I believe is a mini-display port in place of a Type C, so I can't use it. I have to return the tablet. I NEED THIS FOR WORK. I WASTED MONEY ON THE HUB ADAPTER. I WASTED TIME LOADING THIS COMPUTER THAT I NEEDED TO USE IN TRAINING. Very unhappy.If someone compensates me and makes this right I will remove this comment. But I am leaving it now because I just got a response from Amazon""Hi Amazon Customer,We sent your question about Microsoft Surface Pro 7 –... to the Amazon community and unfortunately none of them have yet responded.Questions remain unanswered when we do not have enough customers to ask or when the question is particularly difficult to answer. At this point your question is unlikely to receive an answer, but it will remain posted on Amazon and we will notify you if anyone responds.Thank you for shopping on Amazon!""hahahahaha good one, guys!"
27,4.0 stars,"  Great for travelers who need a functional computer that can also serve as a tablet. I got th Surface Pro 7 because I travel for work and will also be starting grad school so I may need to study on the plane or after work in the hotels. I wanted the full functionality of a computer that would allow me to use MS Office programs as well as the functionality of a touch screen, tablet and inking feature to take notes for class. I am just getting accustomed to the inking feature but I can see that it will be a great asset to me during my program and I enjoy the overall portability of the Microsoft Surface Pro 7.  The screen size is just right for me as I don’t like large computers. I have also purchased a wireless keyboard and mouse for when at home to make it even easier to use when typing papers or working on projects. I also purchased a cute flowered skin with white. sage, pink and gray to protect the metal from any nicks or scratches.  I also purchased the silver pen and got a sage green skin to protect it. I like that the pen magnetically attaches to the side of the Surface Pro 7 and that the pen can erase using the eraser on the pen. The only reason I gave it four rather than five stars is that I am finding that not all apps are offered in the Surface Pro that I currently have. The selection seems quite limited and you can’t get apps from iTunes or Google Play as neither service is compatible with Windows. I am most disappointed that Scribd is not offered as I was hoping to be able to read books while in flight. I have read that there is VM Ware apps that may work. I am not very technical so I don’t know much about it. I appreciate any suggestions from Microsoft or techies on how I can upload Scribd on my Surface Pro 7. Thank you!"
28,5.0 stars,"  I really like this Surface Pro 7. It is exactly as advertised with one exception. The battery life is nowhere near what is advertised. On battery saving mode, using only Onenote for taking class notes, it lasts about 4 hours. Fortunately it charges up very quickly though. I can't see any way that I would get a full days use out of a full battery charge in any circumstance. In my case that is not very important because I am always around an outlet but if you need a tablet that will last all day away from a power source you will have a problem. The camera is good enough, not as good as the Apple camera, but I don't really use it as a camera anyway. I use mostly the 365 programs and find that it integrates these programs seamlessly. Onenote comes with the tablet and has been an amazing app for my vet school classes.  It saves my many hours of study time. My only issues are with the instability of Onenote. It closes itself down every few minutes and is very frustrating. I'm sure there is a fix for this but I'm also sure that I won't get it from Microsorft as they have a technical support team that is on par with the customer service team at the cable company. I've contacted them 3 times now and my issue is never addressed. I was actually told to contact Amazon since they sold it to me. It seems like after spending a thousand dollars on Microsoft products they would at least provide a bit of tech support.  I'll just have to scour the web for a fix to this I guess. Overall I would recommend this tablet to every student. It seems to be a fantastic and fast machine."
29,1.0 stars,"  I bought this device to have experience with windows. I have used Android tablets and iPad but this device has included holder so I decided it is very good for table and watching videos. It was mistake. iPad would be much better. Seriously. It looks like they ignore or other devices. Microsoft lives in their own word. Do you think that start video on youtube is easy? You wrong. Sometimes it turn off full screen mode, sometimes video is stoped, sometimes touch is ignored. And it is just simple touch. Windows, in any mode, is not ready to work with touchscreen. And one more thing. I have found a window with screen saver settings. It is taken from Win95, I suppose. Perfect!"
30,4.0 stars,"  The Microsoft Surface line is still the best tablet for folks who need to use full desktop packages on the go. Pricing is similar to the iPad Pro series (once you get the keyboards and stylus for each), but you are getting a full desktop experience here. So less compromises on the applications you may need to run. Latest i7 plus a decently fast SSD makes this a good portable workhorse. Battery life is not ideal, and you will hear the machine spin up when you're running bigger apps, but the portability and light weight is generally worth it. Light gaming is possible with the i7 Iris graphics, and you can do work with both Photoshop and Lightroom without spending too much more time than on your main machine. If your need for a mobile computer is ""Work first"" rather than ""Create first"", then this will be your best bet."
